# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,
# Sat Aug  9 09:03:26 2025,,,,,,,,
#,,,,,,,,
# User preference: *,,,,,,,,
#,,,,,,,,
# CONSTRAINT:  where (sy_snum = 1,,,,,,,,
# CONSTRAINT:  and sy_pnum >= 5,,,,,,,,
# CONSTRAINT:  and soltype like '%confirmed%'),,,,,,,,
#,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,
# COLUMN soltype:        Solution Type,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,
#,,,,,,,,
pl_name,hostname,sy_snum,sy_pnum,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
HD 10180 c,HD 10180,1,6,Published Confirmed,5.75979,0.00062,-0.00062,0
HD 10180 d,HD 10180,1,6,Published Confirmed,16.3579,0.0038,-0.0038,0
HD 10180 e,HD 10180,1,6,Published Confirmed,49.745,0.022,-0.022,0
HD 10180 f,HD 10180,1,6,Published Confirmed,122.76,0.17,-0.17,0
HD 10180 g,HD 10180,1,6,Published Confirmed,601.2,8.1,-8.1,0
HD 10180 h,HD 10180,1,6,Published Confirmed,2222,91,-91,0
HD 108236 b,HD 108236,1,5,Published Confirmed,3.795963,0.000025,-0.000034,0
HD 108236 c,HD 108236,1,5,Published Confirmed,6.203449,0.000049,-0.000046,0
HD 108236 d,HD 108236,1,5,Published Confirmed,14.175685,0.000083,-0.0001,0
HD 108236 e,HD 108236,1,5,Published Confirmed,19.590025,0.000083,-0.000089,0
HD 108236 f,HD 108236,1,5,Published Confirmed,29.54115,0.00033,-0.00042,0
HD 158259 b,HD 158259,1,5,Published Confirmed,2.178,0.00009,-0.0001,0
HD 158259 c,HD 158259,1,5,Published Confirmed,3.432,0.0003,-0.00016,0
HD 158259 d,HD 158259,1,5,Published Confirmed,5.1980814,0.0008186,-0.0008814,0
HD 158259 e,HD 158259,1,5,Published Confirmed,7.951,0.0022,-0.0021,0
HD 158259 f,HD 158259,1,5,Published Confirmed,12.028,0.009,-0.009,0
HD 191939 b,HD 191939,1,6,Published Confirmed,8.880403,0.00007,-0.00007,0
HD 191939 c,HD 191939,1,6,Published Confirmed,28.57968,0.00016,-0.00016,0
HD 191939 d,HD 191939,1,6,Published Confirmed,38.3561,0.0012,-0.0012,0
HD 191939 e,HD 191939,1,6,Published Confirmed,101.7,0.08,-0.08,0
HD 191939 f,HD 191939,1,6,Published Confirmed,2898,152,-152,0
HD 191939 g,HD 191939,1,6,Published Confirmed,288.6,7.1,-7.1,0
HD 219134 b,HD 219134,1,6,Published Confirmed,3.0929338,0.0000017,-0.0000017,0
HD 219134 c,HD 219134,1,6,Published Confirmed,6.765149,0.000033,-0.000036,0
HD 219134 d,HD 219134,1,6,Published Confirmed,46.71,0.01,-0.01,0
HD 219134 f,HD 219134,1,6,Published Confirmed,22.805,0.005,-0.005,0
HD 219134 g,HD 219134,1,6,Published Confirmed,94.2,0.2,-0.2,0
HD 219134 h,HD 219134,1,6,Published Confirmed,2104,16,-17,0
HD 23472 b,HD 23472,1,5,Published Confirmed,17.667087,0.000042,-0.000042,0
