star_name,num_planets,age_gyr
Sun,9,4.603
KOI-351,8,0.5
TRAPPIST-1,7,7.2
HD 10180,6,7.3
HD 191939,6,7
HD 219134,6,9.3
HD 34445,6,8.5
K2-138,6,2.3
Kepler-11,6,3.2
Kepler-80,6,2
TOI-1136,6,0.7
TOI-178,6,7.1
HD 108236,5,6.7
HD 158259,5,7.4
HD 23472,5,-1
HD 40307,5,6.9
K2-268,5,-1
K2-384,5,-1
Kepler-102,5,1.41
Kepler-122,5,3.89
Kepler-150,5,4.57
Kepler-154,5,4.47
Kepler-169,5,-1
Kepler-186,5,4.0
Kepler-238,5,6.76
Kepler-292,5,5.13
Kepler-32,5,2.7
Kepler-33,5,4.27
Kepler-55,5,3.13
Kepler-62,5,7
Kepler-82,5,5.1
Kepler-84,5,4.9
